index_1,index_2,distance
3,30,1893.4370000000001
3,31,2367.958
3,32,2111.721
3,33,2507.541
3,34,1087.4850000000001
3,35,657.171
3,36,3198.5840000000003
3,37,3367.9730000000004
3,38,2936.221
3,39,2913.8169999999996
3,40,2064.4449999999997
3,41,2566.227
3,42,2463.6559999999995
3,43,2513.8240000000005
3,44,2170.3500000000004
3,45,2878.077
3,46,2405.8080000000004
3,47,2922.4369999999994
3,48,3494.810000000001
3,49,2028.4560000000001
3,50,1726.555
3,51,1560.4850000000001
3,52,1207.189
3,53,1030.662
3,54,1908.8900000000003
3,55,2549.041
3,56,2094.982
3,57,263.171
3,58,4242.085000000001
3,59,3668.5100000000007
3,60,4146.375000000001
3,61,3970.7170000000006
3,62,4412.008000000001
3,63,3381.6780000000003
3,64,4304.287000000001
3,65,1343.7329999999997
4,1,18.114
4,2,844.1969999999999
4,3,1353.633
4,4,0.0
4,5,827.9069999999999
4,6,981.764
4,7,2161.399
4,8,1658.537
4,9,1467.1250000000002
4,10,2979.5
4,11,2171.751
4,12,4278.2970000000005
4,13,1268.205
4,14,1914.95
4,15,1534.136
4,16,1316.731
4,17,1825.9279999999999
4,18,2359.996
4,19,466.03799999999995
4,20,460.44999999999993
4,21,2125.0299999999997
4,22,439.95599999999996
4,23,1772.0369999999998
4,24,1255.3129999999999
4,25,1207.6819999999998
4,26,2108.0299999999997
4,27,2723.096
4,28,2710.092
4,29,3771.1
4,30,2228.6649999999995
4,31,1791.456
4,32,2047.6929999999998
4,33,2443.513
4,34,1107.687
4,35,992.3989999999999
4,36,2024.044
4,37,2702.666
4,38,1804.597
4,39,1635.881
4,40,745.785
4,41,1247.567
4,42,1144.996
4,43,1210.972
4,44,1460.23
4,45,1575.2250000000001
4,46,1102.956
4,47,1603.7770000000003
4,48,2682.5119999999997
4,49,3344.0009999999997
4,50,3042.1
4,51,2876.03
4,52,2522.734
4,53,2346.207
4,54,1198.77
4,55,1812.321
4,56,2394.844
4,57,1583.708
4,58,3082.3869999999997
4,59,2508.812
4,60,2971.835
4,61,2796.177
4,62,3237.4680000000003
4,63,2207.138
4,64,3129.7470000000003
4,65,2664.27
5,1,844.095
5,2,16.29
5,3,525.726
5,4,902.907
5,5,0.0
5,6,1807.7450000000001
5,7,1338.484
5,8,836.8430000000001
5,9,2293.106
5,10,2151.593
5,11,1350.0570000000002
5,12,3450.39
5,13,2053.462
5,14,2596.811
5,15,2173.081
5,16,495.03700000000003
5,17,1003.013
5,18,1532.089
5,19,1345.73
5,20,1286.4309999999998
5,21,1297.123
5,22,1265.937
5,23,944.13
