id,order_time,count,bus_id,actual_pay,actual_gain,status,pickup_node,dropoff_node
287,2023-12-18 16:51,1,B07821D,3.0,3.0,1,17,6
288,2023-12-18 16:52,1,B03260D,1.2,0.24,0,3,63
289,2023-12-18 16:53,1,B03635D,3.0,0.0,0,63,3
290,2023-12-18 16:54,1,B03260D,3.0,3.0,1,7,1
291,2023-12-18 16:55,1,B03635D,3.0,3.0,1,42,1
292,2023-12-18 16:55,1,B07821D,3.0,0.0,0,46,11
293,2023-12-18 16:56,1,0,3.0,0.0,0,17,31
294,2023-12-18 16:56,1,B07821D,3.0,3.0,1,63,3
295,2023-12-18 16:56,1,B03260D,3.0,0.0,0,42,10
296,2023-12-18 16:58,1,B03260D,3.0,0.0,0,5,1
297,2023-12-18 16:59,1,0,1.6,0.0,0,54,1
298,2023-12-18 17:00,1,B07821D,3.0,0.0,0,40,11
299,2023-12-18 17:00,1,B03260D,0.0,0.0,0,1,21
300,2023-12-18 17:00,1,0,3.0,0.0,0,6,60
301,2023-12-18 17:01,1,0,0.9,0.0,0,6,23
302,2023-12-18 17:01,1,0,3.0,0.0,0,6,3
303,2023-12-18 17:01,1,B03260D,3.0,0.6000000000000001,0,42,21
304,2023-12-18 17:02,1,B03260D,3.0,0.6000000000000001,0,42,3
305,2023-12-18 17:02,1,B03635D,3.0,0.0,0,16,11
306,2023-12-18 17:03,1,B06252D,3.0,3.0,0,45,16
307,2023-12-18 17:03,1,0,3.0,0.0,0,55,28
308,2023-12-18 17:03,1,B06252D,3.0,3.0,1,46,23
309,2023-12-18 17:04,1,B03260D,0.5,0.0,0,42,1
310,2023-12-18 17:05,1,B01526D,3.0,0.0,0,17,40
311,2023-12-18 17:05,2,0,6.0,0.0,0,16,1
312,2023-12-18 17:06,2,B03635D,4.5,4.5,1,63,40
313,2023-12-18 17:07,1,B06252D,3.0,0.0,0,17,3
314,2023-12-18 17:07,1,B06527D,1.4,1.4,1,44,63
315,2023-12-18 17:08,1,B07821D,0.7,0.0,0,42,1
316,2023-12-18 17:08,1,0,3.0,0.0,0,54,1
317,2023-12-18 17:09,1,B03260D,3.0,0.6000000000000001,0,1,65
318,2023-12-18 17:09,1,B06527D,3.0,3.0,1,44,63
319,2023-12-18 17:09,2,B06527D,6.0,1.2000000000000002,0,46,1
320,2023-12-18 17:09,2,0,6.0,0.0,0,16,1
321,2023-12-18 17:09,1,B07821D,1.1,0.0,0,42,1
322,2023-12-18 17:10,1,B01575D,3.0,3.0,1,36,21
323,2023-12-18 17:10,1,B07821D,3.0,3.0,1,47,21
324,2023-12-18 17:10,1,B06527D,3.0,0.0,0,1,52
325,2023-12-18 17:10,1,B06527D,3.0,0.0,0,1,52
326,2023-12-18 17:11,1,B07821D,3.0,0.6000000000000001,0,1,65
327,2023-12-18 17:11,1,B06252D,3.0,3.0,1,17,14
328,2023-12-18 17:12,1,B06252D,3.0,0.0,0,46,3
329,2023-12-18 17:12,1,B06527D,3.0,3.0,1,46,1
330,2023-12-18 17:14,1,B03635D,3.0,0.0,0,1,52
331,2023-12-18 17:15,2,0,6.0,0.0,0,63,23
332,2023-12-18 17:15,1,B03260D,3.0,0.6000000000000001,0,17,19
333,2023-12-18 17:15,1,B03635D,3.0,3.0,1,63,8
334,2023-12-18 17:15,1,B07821D,3.0,0.6000000000000001,0,55,1
335,2023-12-18 17:15,1,B03260D,3.0,3.0,1,7,1
336,2023-12-18 17:15,1,0,3.0,0.0,0,40,21
